time,os,network interface,gps latitude,gps longitude,gps accuracy,ssid,bssid,wi-fi standard,frequency,channel,channel width,rssi,rssi+100,noise level,network delay (ms)
1696764049,MacOS 13.3.1(a),"Intel Wi-Fi 6 AX200, Realtek PCIe",-33.918488,151.231115,5,uniwide,a8:9d:21:71:ae:31,802.11g/n,2.4GHz,1,20,-89,11,-93,
1696764049,MacOS 13.3.1(a),"Intel Wi-Fi 6 AX200, Realtek PCIe",-33.918488,151.231115,5,uniwide,08:cc:68:b4:8f:de,802.11ac,5GHz,132,40,-90,10,-93,
1696764049,MacOS 13.3.1(a),"Intel Wi-Fi 6 AX200, Realtek PCIe",-33.918488,151.231115,5,uniwide,a8:9d:21:71:d4:ee,802.11ac,5GHz,136,40,-89,11,-93,
1696764049,MacOS 13.3.1(a),"Intel Wi-Fi 6 AX200, Realtek PCIe",-33.918488,151.231115,5,uniwide,00:ee:ab:38:99:2e,802.11ac,5GHz,112,40,-93,7,-93,
1696764049,MacOS 13.3.1(a),"Intel Wi-Fi 6 AX200, Realtek PCIe",-33.918488,151.231115,5,uniwide,08:cc:68:b4:7e:ea,802.11ac,5GHz,52,40,-90,10,-93,
1696764049,MacOS 13.3.1(a),"Intel Wi-Fi 6 AX200, Realtek PCIe",-33.918488,151.231115,5,uniwide,08:cc:68:b4:8f:de,802.11ac,5GHz,132,40,-89,11,-93,
1696764049,MacOS 13.3.1(a),"Intel Wi-Fi 6 AX200, Realtek PCIe",-33.918488,151.231115,5,uniwide,a8:9d:21:71:ae:31,802.11g/n,2.4GHz,1,20,-86,14,-93,
1696764049,MacOS 13.3.1(a),"Intel Wi-Fi 6 AX200, Realtek PCIe",-33.918488,151.231115,5,uniwide,a8:9d:21:71:ae:31,802.11g/n,2.4GHz,1,20,-67,33,-93,
1696764049,MacOS 13.3.1(a),"Intel Wi-Fi 6 AX200, Realtek PCIe",-33.918488,151.231115,5,uniwide,08:cc:68:b5:86:81,802.11g/n,2.4GHz,11,20,-84,16,-93,
1696764049,MacOS 13.3.1(a),"Intel Wi-Fi 6 AX200, Realtek PCIe",-33.918488,151.231115,5,uniwide,a8:9d:21:71:ae:3e,802.11ac,5GHz,60,40,-72,28,-93,4.487991333
1696764049,MacOS 13.3.1(a),"Intel Wi-Fi 6 AX200, Realtek PCIe",-33.918488,151.231115,5,uniwide,a8:9d:21:71:ae:31,802.11g/n,2.4GHz,1,20,-94,6,-93,
1696764049,MacOS 13.3.1(a),"Intel Wi-Fi 6 AX200, Realtek PCIe",-33.918488,151.231115,5,uniwide,08:cc:68:b5:86:8e,802.11ac,5GHz,36,40,-92,8,-93,
1696764049,MacOS 13.3.1(a),"Intel Wi-Fi 6 AX200, Realtek PCIe",-33.918488,151.231115,5,uniwide,a8:9d:21:71:ae:31,802.11g/n,2.4GHz,1,20,-67,33,-93,
1696764049,MacOS 13.3.1(a),"Intel Wi-Fi 6 AX200, Realtek PCIe",-33.918488,151.231115,5,uniwide,08:cc:68:b5:db:9e,802.11ac,5GHz,64,40,-87,13,-93,
1696764049,MacOS 13.3.1(a),"Intel Wi-Fi 6 AX200, Realtek PCIe",-33.918488,151.231115,5,uniwide,08:cc:68:b5:86:81,802.11g/n,2.4GHz,11,20,-75,25,-93,
1696764049,MacOS 13.3.1(a),"Intel Wi-Fi 6 AX200, Realtek PCIe",-33.918488,151.231115,5,uniwide,08:cc:68:b4:7e:ea,802.11ac,5GHz,52,40,-75,25,-93,
1696764049,MacOS 13.3.1(a),"Intel Wi-Fi 6 AX200, Realtek PCIe",-33.918488,151.231115,5,uniwide,08:cc:68:b5:f7:ba,802.11ac,5GHz,56,40,-90,10,-93,
1696764049,MacOS 13.3.1(a),"Intel Wi-Fi 6 AX200, Realtek PCIe",-33.918488,151.231115,5,uniwide,08:cc:68:b5:db:9e,802.11ac,5GHz,64,40,-86,14,-93,
1696764049,MacOS 13.3.1(a),"Intel Wi-Fi 6 AX200, Realtek PCIe",-33.918488,151.231115,5,uniwide,00:ee:ab:38:99:2e,802.11ac,5GHz,112,40,-94,6,-92,
1696764049,MacOS 13.3.1(a),"Intel Wi-Fi 6 AX200, Realtek PCIe",-33.918488,151.231115,5,uniwide,08:cc:68:b4:8c:fa,802.11ac,5GHz,100,40,-81,19,-93,
1696764049,MacOS 13.3.1(a),"Intel Wi-Fi 6 AX200, Realtek PCIe",-33.918488,151.231115,5,uniwide,08:cc:68:b5:86:81,802.11g/n,2.4GHz,11,20,-84,16,-93,
1696764049,MacOS 13.3.1(a),"Intel Wi-Fi 6 AX200, Realtek PCIe",-33.918488,151.231115,5,uniwide,d0:72:dc:04:b9:0e,802.11ac,5GHz,104,40,-83,17,-93,
1696764049,MacOS 13.3.1(a),"Intel Wi-Fi 6 AX200, Realtek PCIe",-33.918488,151.231115,5,uniwide,a8:9d:21:71:ae:31,802.11g/n,2.4GHz,1,20,-86,14,-93,
1696764049,MacOS 13.3.1(a),"Intel Wi-Fi 6 AX200, Realtek PCIe",-33.918488,151.231115,5,uniwide,1c:e6:c7:0d:5c:ae,802.11ac,5GHz,44,40,-93,7,-93,
1696764049,MacOS 13.3.1(a),"Intel Wi-Fi 6 AX200, Realtek PCIe",-33.918488,151.231115,5,uniwide,08:cc:68:b4:8c:fa,802.11ac,5GHz,100,40,-94,6,-93,
