time,os,network interface,gps latitude,gps longitude,gps accuracy,ssid,bssid,wi-fi standard,frequency,channel,channel width,rssi,rssi+100,noise level,network delay (ms)
1696983163,Windows 10,Intel(R) Wireless-AC 9560 160MHz,-33.917936,151.232119,4.9,uniwide,00:ea:bd:e3:b9:b1,802.11n,2.4GHz,11,40,-77,23,,
1696983163,Windows 10,Intel(R) Wireless-AC 9560 160MHz,-33.917936,151.232119,4.9,uniwide,a8:9d:21:85:19:ea,802.11ac,5GHz,52,80,-87,13,,
1696983163,Windows 10,Intel(R) Wireless-AC 9560 160MHz,-33.917936,151.232119,4.9,uniwide,1c:e6:c7:f0:20:26,802.11ac,5GHz,161,80,-65,35,,
1696983163,Windows 10,Intel(R) Wireless-AC 9560 160MHz,-33.917936,151.232119,4.9,uniwide,54:78:1a:bf:7e:21,802.11n,2.4GHz,1,40,-77,23,,
1696983163,Windows 10,Intel(R) Wireless-AC 9560 160MHz,-33.917936,151.232119,4.9,uniwide,00:ea:bd:e3:c0:b1,802.11n,2.4GHz,1,40,-80,20,,
1696983163,Windows 10,Intel(R) Wireless-AC 9560 160MHz,-33.917936,151.232119,4.9,uniwide,1c:e6:c7:0d:5c:a6,802.11ac,5GHz,40,80,-81,19,,
1696983163,Windows 10,Intel(R) Wireless-AC 9560 160MHz,-33.917936,151.232119,4.9,uniwide,08:cc:68:b4:87:51,802.11n,2.4GHz,6,40,-88,12,,
1696983163,Windows 10,Intel(R) Wireless-AC 9560 160MHz,-33.917936,151.232119,4.9,uniwide,08:cc:68:b4:66:ce,802.11ac,5GHz,64,80,-73.5,26.5,,
1696983163,Windows 10,Intel(R) Wireless-AC 9560 160MHz,-33.917936,151.232119,4.9,uniwide,1c:e6:c7:f0:20:21,802.11n,2.4GHz,6,40,-61,39,,25
1696983163,Windows 10,Intel(R) Wireless-AC 9560 160MHz,-33.917936,151.232119,4.9,uniwide,00:ea:bd:e3:b3:51,802.11n,2.4GHz,1,40,-65,35,,
1696983163,Windows 10,Intel(R) Wireless-AC 9560 160MHz,-33.917936,151.232119,4.9,uniwide,54:78:1a:bf:a6:e6,802.11ac,5GHz,64,80,-85.5,14.5,,
1696983163,Windows 10,Intel(R) Wireless-AC 9560 160MHz,-33.917936,151.232119,4.9,uniwide,00:ea:bd:e3:b3:5e,802.11ac,5GHz,52,80,-89,11,,
1696983163,Windows 10,Intel(R) Wireless-AC 9560 160MHz,-33.917936,151.232119,4.9,uniwide,54:78:1a:bf:6a:be,802.11n,5GHz,36,40,-88,12,,
1696983163,Windows 10,Intel(R) Wireless-AC 9560 160MHz,-33.917936,151.232119,4.9,uniwide,a8:9d:21:71:d4:ee,802.11ac,5GHz,136,80,-75,25,,
1696983190,Windows 10,Intel(R) Wireless-AC 9560 160MHz,-33.917929,151.232118,4.9,uniwide,00:ea:bd:e3:b9:b1,802.11n,2.4GHz,11,40,-77,23,,
1696983190,Windows 10,Intel(R) Wireless-AC 9560 160MHz,-33.917929,151.232118,4.9,uniwide,a8:9d:21:85:19:ea,802.11ac,5GHz,52,80,-87,13,,
1696983190,Windows 10,Intel(R) Wireless-AC 9560 160MHz,-33.917929,151.232118,4.9,uniwide,1c:e6:c7:f0:20:26,802.11ac,5GHz,161,80,-69,31,,
1696983190,Windows 10,Intel(R) Wireless-AC 9560 160MHz,-33.917929,151.232118,4.9,uniwide,54:78:1a:bf:7e:21,802.11n,2.4GHz,1,40,-77,23,,
1696983190,Windows 10,Intel(R) Wireless-AC 9560 160MHz,-33.917929,151.232118,4.9,uniwide,00:ea:bd:e3:c0:b1,802.11n,2.4GHz,1,40,-80,20,,
1696983190,Windows 10,Intel(R) Wireless-AC 9560 160MHz,-33.917929,151.232118,4.9,uniwide,1c:e6:c7:0d:5c:a6,802.11ac,5GHz,40,80,-88,12,,
1696983190,Windows 10,Intel(R) Wireless-AC 9560 160MHz,-33.917929,151.232118,4.9,uniwide,08:cc:68:b4:66:ce,802.11ac,5GHz,64,80,-88,12,,
1696983190,Windows 10,Intel(R) Wireless-AC 9560 160MHz,-33.917929,151.232118,4.9,uniwide,1c:e6:c7:f0:20:21,802.11n,2.4GHz,6,40,-69,31,,23
1696983190,Windows 10,Intel(R) Wireless-AC 9560 160MHz,-33.917929,151.232118,4.9,uniwide,00:ea:bd:e3:b3:51,802.11n,2.4GHz,1,40,-65,35,,
1696983190,Windows 10,Intel(R) Wireless-AC 9560 160MHz,-33.917929,151.232118,4.9,uniwide,54:78:1a:bf:a6:e6,802.11ac,5GHz,64,80,-77,23,,
1696983190,Windows 10,Intel(R) Wireless-AC 9560 160MHz,-33.917929,151.232118,4.9,uniwide,6c:b2:ae:5d:ae:1e,802.11ac,5GHz,132,80,-89,11,,
1696983190,Windows 10,Intel(R) Wireless-AC 9560 160MHz,-33.917929,151.232118,4.9,uniwide,00:ea:bd:e3:b3:5e,802.11ac,5GHz,52,80,-78.5,21.5,,
1696983190,Windows 10,Intel(R) Wireless-AC 9560 160MHz,-33.917929,151.232118,4.9,uniwide,d4:c9:3c:c1:aa:2e,802.11ac,5GHz,64,80,-81,19,,
1696983190,Windows 10,Intel(R) Wireless-AC 9560 160MHz,-33.917929,151.232118,4.9,uniwide,54:78:1a:bf:6a:be,802.11n,5GHz,36,40,-88,12,,
1696983190,Windows 10,Intel(R) Wireless-AC 9560 160MHz,-33.917929,151.232118,4.9,uniwide,a8:9d:21:71:d4:ee,802.11ac,5GHz,136,80,-84.5,15.5,,
1696983218,Windows 10,Intel(R) Wireless-AC 9560 160MHz,-33.917929,151.232118,4.9,uniwide,00:ea:bd:e3:b9:b1,802.11n,2.4GHz,11,40,-77,23,,
1696983218,Windows 10,Intel(R) Wireless-AC 9560 160MHz,-33.917929,151.232118,4.9,uniwide,a8:9d:21:85:19:ea,802.11ac,5GHz,52,80,-87,13,,
1696983218,Windows 10,Intel(R) Wireless-AC 9560 160MHz,-33.917929,151.232118,4.9,uniwide,1c:e6:c7:f0:20:26,802.11ac,5GHz,161,80,-75,25,,
1696983218,Windows 10,Intel(R) Wireless-AC 9560 160MHz,-33.917929,151.232118,4.9,uniwide,54:78:1a:bf:7e:21,802.11n,2.4GHz,1,40,-81,19,,
1696983218,Windows 10,Intel(R) Wireless-AC 9560 160MHz,-33.917929,151.232118,4.9,uniwide,00:ea:bd:e3:c0:b1,802.11n,2.4GHz,1,40,-80,20,,
