,Date, Signal(dBm), Noise(dBm), Channel, Security, Mode,SSID,BSSID,Unnamed: 6
0,11/10/2566 BE 17:34:24, -68, -88, 6, WPA2-Enterprise, g/n,Global_Students ,08-CC-68-B5-D0-52,
1,11/10/2566 BE 17:34:11, -68, -88, 6, WPA2-Enterprise, g/n,Global_Students ,08-CC-68-B5-D0-52,
2,11/10/2566 BE 17:33:58, -68, -88, 6, WPA2-Enterprise, g/n,Global_Students ,08-CC-68-B5-D0-52,
3,11/10/2566 BE 17:31:59, -83, -83, 1, Open, g/n,UNSW Guest ,08-CC-68-B5-BB-E3,
4,11/10/2566 BE 17:42:39, -90, -94, 64, WPA2-Enterprise, ac,[Hidden SSID] ,08-CC-68-CC-3B-8B,
5,11/10/2566 BE 17:42:13, -88, -93, 64, WPA2-Enterprise, ac,[Hidden SSID] ,08-CC-68-CC-3B-8B,
6,11/10/2566 BE 17:42:01, -88, -93, 64, WPA2-Enterprise, ac,[Hidden SSID] ,08-CC-68-CC-3B-8B,
7,11/10/2566 BE 17:41:48, -88, -93, 64, WPA2-Enterprise, ac,[Hidden SSID] ,08-CC-68-CC-3B-8B,
8,11/10/2566 BE 17:41:32, -89, -91, 64, WPA2-Enterprise, ac,[Hidden SSID] ,08-CC-68-CC-3B-8B,
9,11/10/2566 BE 17:42:26, -90, -96, 36, WPA2-Enterprise, a/n,uniwide ,1C-E6-C7-3E-61-DF,
10,11/10/2566 BE 17:42:13, -90, -96, 36, WPA2-Enterprise, a/n,uniwide ,1C-E6-C7-3E-61-DF,
11,11/10/2566 BE 17:42:01, -90, -96, 36, WPA2-Enterprise, a/n,uniwide ,1C-E6-C7-3E-61-DF,
12,11/10/2566 BE 17:41:48, -80, -94, 36, WPA2-Enterprise, a/n,uniwide ,1C-E6-C7-3E-61-DF,
13,11/10/2566 BE 17:41:32, -84, -94, 36, WPA2-Enterprise, a/n,uniwide ,1C-E6-C7-3E-61-DF,
14,11/10/2566 BE 17:41:20, -91, -94, 36, WPA2-Enterprise, a/n,uniwide ,1C-E6-C7-3E-61-DF,
15,11/10/2566 BE 17:41:07, -91, -94, 36, WPA2-Enterprise, a/n,uniwide ,1C-E6-C7-3E-61-DF,
16,11/10/2566 BE 17:18:55, -88, -95, 64, WPA2-Enterprise, ac,uniwide ,08-CC-68-B4-76-7F,
17,11/10/2566 BE 17:18:42, -88, -95, 64, WPA2-Enterprise, ac,uniwide ,08-CC-68-B4-76-7F,
18,11/10/2566 BE 17:18:29, -88, -95, 64, WPA2-Enterprise, ac,uniwide ,08-CC-68-B4-76-7F,
19,11/10/2566 BE 17:15:18, -81, -93, 64, WPA2-Enterprise, ac,uniwide ,08-CC-68-B4-76-7F,
20,11/10/2566 BE 17:15:05, -81, -93, 64, WPA2-Enterprise, ac,uniwide ,08-CC-68-B4-76-7F,
21,11/10/2566 BE 17:14:52, -81, -93, 64, WPA2-Enterprise, ac,uniwide ,08-CC-68-B4-76-7F,
22,11/10/2566 BE 17:13:22, -77, -95, 64, WPA2-Enterprise, ac,uniwide ,08-CC-68-B4-76-7F,
23,11/10/2566 BE 17:13:10, -77, -95, 64, WPA2-Enterprise, ac,uniwide ,08-CC-68-B4-76-7F,
24,11/10/2566 BE 17:37:12, -91, -94, 64, WPA2-Personal, ac,[Hidden SSID] ,08-CC-68-B5-93-7B,
25,11/10/2566 BE 17:36:59, -91, -94, 64, WPA2-Personal, ac,[Hidden SSID] ,08-CC-68-B5-93-7B,
26,11/10/2566 BE 17:36:46, -91, -94, 64, WPA2-Personal, ac,[Hidden SSID] ,08-CC-68-B5-93-7B,
27,11/10/2566 BE 17:33:20, -80, -82, 6, WPA2-Enterprise, g/n,eduroam ,08-CC-68-B5-C4-F0,
28,11/10/2566 BE 17:33:08, -80, -82, 6, WPA2-Enterprise, g/n,eduroam ,08-CC-68-B5-C4-F0,
29,11/10/2566 BE 17:19:44, -63, -91, 6, WPA2-Personal, g/n,[Hidden SSID] ,08-CC-68-B5-8F-F5,
30,11/10/2566 BE 17:19:32, -63, -91, 6, WPA2-Personal, g/n,[Hidden SSID] ,08-CC-68-B5-8F-F5,
31,11/10/2566 BE 17:19:20, -63, -91, 6, WPA2-Personal, g/n,[Hidden SSID] ,08-CC-68-B5-8F-F5,
32,11/10/2566 BE 17:17:10, -85, -86, 6, WPA2-Personal, g/n,[Hidden SSID] ,08-CC-68-B5-8F-F5,
33,11/10/2566 BE 17:16:57, -85, -86, 6, WPA2-Personal, g/n,[Hidden SSID] ,08-CC-68-B5-8F-F5,
34,11/10/2566 BE 17:35:03, -81, -83, 11, WPA2-Enterprise, g/n,Global_Students ,BC-26-C7-C7-6E-12,
35,11/10/2566 BE 17:34:50, -81, -83, 11, WPA2-Enterprise, g/n,Global_Students ,BC-26-C7-C7-6E-12,
36,11/10/2566 BE 17:34:37, -81, -83, 11, WPA2-Enterprise, g/n,Global_Students ,BC-26-C7-C7-6E-12,
37,11/10/2566 BE 17:39:24, -81, -97, 44, WPA2-Enterprise, a/n,[Hidden SSID] ,1C-E6-C7-3E-DB-7D,
38,11/10/2566 BE 17:39:11, -81, -97, 44, WPA2-Enterprise, a/n,[Hidden SSID] ,1C-E6-C7-3E-DB-7D,
39,11/10/2566 BE 17:38:58, -78, -96, 44, WPA2-Enterprise, a/n,[Hidden SSID] ,1C-E6-C7-3E-DB-7D,
40,11/10/2566 BE 17:31:29, -87, -96, 44, WPA2-Enterprise, a/n,[Hidden SSID] ,1C-E6-C7-3E-DB-7D,
41,11/10/2566 BE 17:31:16, -87, -96, 44, WPA2-Enterprise, a/n,[Hidden SSID] ,1C-E6-C7-3E-DB-7D,
42,11/10/2566 BE 17:29:19, -84, -93, 44, WPA2-Enterprise, a/n,[Hidden SSID] ,1C-E6-C7-3E-DB-7D,
43,11/10/2566 BE 17:29:06, -84, -93, 44, WPA2-Enterprise, a/n,[Hidden SSID] ,1C-E6-C7-3E-DB-7D,
44,11/10/2566 BE 17:28:56, -84, -93, 44, WPA2-Enterprise, a/n,[Hidden SSID] ,1C-E6-C7-3E-DB-7D,
45,11/10/2566 BE 17:28:43, -84, -93, 44, WPA2-Enterprise, a/n,[Hidden SSID] ,1C-E6-C7-3E-DB-7D,
46,11/10/2566 BE 17:28:32, -84, -93, 44, WPA2-Enterprise, a/n,[Hidden SSID] ,1C-E6-C7-3E-DB-7D,
47,11/10/2566 BE 17:27:53, -90, -95, 44, WPA2-Enterprise, a/n,[Hidden SSID] ,1C-E6-C7-3E-DB-7D,
48,11/10/2566 BE 17:27:41, -90, -95, 44, WPA2-Enterprise, a/n,[Hidden SSID] ,1C-E6-C7-3E-DB-7D,
49,11/10/2566 BE 17:27:28, -90, -95, 44, WPA2-Enterprise, a/n,[Hidden SSID] ,1C-E6-C7-3E-DB-7D,
50,11/10/2566 BE 17:36:34, -91, -94, 64, WPA2-Enterprise, ac,[Hidden SSID] ,00-EA-BD-DB-D1-EA,
51,11/10/2566 BE 17:36:21, -91, -94, 64, WPA2-Enterprise, ac,[Hidden SSID] ,00-EA-BD-DB-D1-EA,
52,11/10/2566 BE 17:36:08, -91, -94, 64, WPA2-Enterprise, ac,[Hidden SSID] ,00-EA-BD-DB-D1-EA,
53,11/10/2566 BE 17:34:50, -89, -95, 64, WPA2-Enterprise, ac,[Hidden SSID] ,00-EA-BD-DB-D1-EA,
54,11/10/2566 BE 17:34:37, -89, -95, 64, WPA2-Enterprise, ac,[Hidden SSID] ,00-EA-BD-DB-D1-EA,
55,11/10/2566 BE 17:33:58, -84, -84, 6, WPA2-Personal, g/n,[Hidden SSID] ,08-CC-68-B4-DB-15,
56,11/10/2566 BE 17:33:46, -84, -84, 6, WPA2-Personal, g/n,[Hidden SSID] ,08-CC-68-B4-DB-15,
57,11/10/2566 BE 17:33:33, -84, -84, 6, WPA2-Personal, g/n,[Hidden SSID] ,08-CC-68-B4-DB-15,
58,11/10/2566 BE 17:24:16, -74, -81, 11, WPA2-Personal, b/g/n,AD_401_RAC_056905_WW-9307 ,DE-03-98-FD-93-07,
59,11/10/2566 BE 17:21:11, -74, -79, 11, WPA2-Personal, b/g/n,AD_401_RAC_056905_WW-9307 ,DE-03-98-FD-93-07,
60,11/10/2566 BE 17:20:58, -74, -79, 11, WPA2-Personal, b/g/n,AD_401_RAC_056905_WW-9307 ,DE-03-98-FD-93-07,
61,11/10/2566 BE 17:18:42, -84, -84, 11, WPA2-Personal, b/g/n,AD_401_RAC_056905_WW-9307 ,DE-03-98-FD-93-07,
62,11/10/2566 BE 17:18:14, -84, -84, 11, WPA2-Personal, b/g/n,AD_401_RAC_056905_WW-9307 ,DE-03-98-FD-93-07,
63,11/10/2566 BE 17:17:10, -86, -94, 132, WPA2-Enterprise, a/n,Global_Students ,F0-9E-63-14-94-AC,
64,11/10/2566 BE 17:16:57, -86, -94, 132, WPA2-Enterprise, a/n,Global_Students ,F0-9E-63-14-94-AC,
65,11/10/2566 BE 17:16:44, -86, -94, 132, WPA2-Enterprise, a/n,Global_Students ,F0-9E-63-14-94-AC,
