,Date, Signal(dBm), Noise(dBm), Channel, Security, Mode,SSID,BSSID
0,"11/10/2023, 8:36:50 pm", -78, -96, 36, WPA2-Enterprise, a/n,uniwide ,1C-E6-C7-3E-61-DF
1,"11/10/2023, 8:36:37 pm", -78, -96, 36, WPA2-Enterprise, a/n,uniwide ,1C-E6-C7-3E-61-DF
2,"11/10/2023, 8:33:28 pm", -83, -91, 1, WPA2-Enterprise, g/n,[Hidden SSID] ,08-CC-68-B5-3D-D2
3,"11/10/2023, 8:33:00 pm", -83, -91, 1, WPA2-Enterprise, g/n,[Hidden SSID] ,08-CC-68-B5-3D-D2
4,"11/10/2023, 8:25:22 pm", -83, -83, 1, WPA2-Enterprise, g/n,[Hidden SSID] ,08-CC-68-B5-3D-D2
5,"11/10/2023, 8:25:09 pm", -83, -83, 1, WPA2-Enterprise, g/n,[Hidden SSID] ,08-CC-68-B5-3D-D2
6,"11/10/2023, 8:15:30 pm", -83, -95, 64, WPA2-Enterprise, ac,uniwide ,08-CC-68-B4-76-7F
7,"11/10/2023, 8:15:17 pm", -83, -95, 64, WPA2-Enterprise, ac,uniwide ,08-CC-68-B4-76-7F
8,"11/10/2023, 8:15:02 pm", -83, -95, 64, WPA2-Enterprise, ac,uniwide ,08-CC-68-B4-76-7F
9,"11/10/2023, 8:14:49 pm", -78, -96, 64, WPA2-Enterprise, ac,uniwide ,08-CC-68-B4-76-7F
10,"11/10/2023, 8:14:37 pm", -78, -96, 64, WPA2-Enterprise, ac,uniwide ,08-CC-68-B4-76-7F
11,"11/10/2023, 8:14:24 pm", -78, -96, 64, WPA2-Enterprise, ac,uniwide ,08-CC-68-B4-76-7F
12,"11/10/2023, 8:14:12 pm", -87, -94, 64, WPA2-Enterprise, ac,uniwide ,08-CC-68-B4-76-7F
13,"11/10/2023, 8:31:47 pm", -81, -87, 6, WPA2-Enterprise, g/n,eduroam ,08-CC-68-B5-C4-F0
14,"11/10/2023, 8:27:20 pm", -80, -84, 6, WPA2-Enterprise, g/n,eduroam ,08-CC-68-B5-C4-F0
15,"11/10/2023, 8:27:07 pm", -80, -84, 6, WPA2-Enterprise, g/n,eduroam ,08-CC-68-B5-C4-F0
16,"11/10/2023, 8:26:54 pm", -80, -84, 6, WPA2-Enterprise, g/n,eduroam ,08-CC-68-B5-C4-F0
17,"11/10/2023, 8:16:47 pm", -83, -89, 6, WPA2-Personal, g/n,[Hidden SSID] ,08-CC-68-B5-8F-F5
18,"11/10/2023, 8:16:34 pm", -83, -89, 6, WPA2-Personal, g/n,[Hidden SSID] ,08-CC-68-B5-8F-F5
19,"11/10/2023, 8:16:21 pm", -75, -82, 6, WPA2-Personal, g/n,[Hidden SSID] ,08-CC-68-B5-8F-F5
20,"11/10/2023, 8:16:08 pm", -75, -82, 6, WPA2-Personal, g/n,[Hidden SSID] ,08-CC-68-B5-8F-F5
21,"11/10/2023, 8:13:59 pm", -71, -86, 6, WPA2-Personal, g/n,[Hidden SSID] ,08-CC-68-B5-8F-F5
22,"11/10/2023, 8:10:15 pm", -92, -96, 48, Open, a/n,UNSW Guest ,F0-9E-63-14-A2-ED
23,"11/10/2023, 8:01:16 pm", -67, -94, 132, WPA2-Enterprise, ac,Global_Students ,08-CC-68-B4-7B-AD
24,"11/10/2023, 8:08:38 pm", -87, -78, 1, WPA2-Personal, b/g/n,[Hidden SSID] ,86-45-58-21-05-35
25,"11/10/2023, 8:08:25 pm", -87, -78, 1, WPA2-Personal, b/g/n,[Hidden SSID] ,86-45-58-21-05-35
26,"11/10/2023, 8:08:12 pm", -87, -78, 1, WPA2-Personal, b/g/n,[Hidden SSID] ,86-45-58-21-05-35
27,"11/10/2023, 8:34:08 pm", -87, -96, 44, WPA2-Enterprise, a/n,[Hidden SSID] ,1C-E6-C7-3E-DB-7D
28,"11/10/2023, 8:33:55 pm", -87, -96, 44, WPA2-Enterprise, a/n,[Hidden SSID] ,1C-E6-C7-3E-DB-7D
29,"11/10/2023, 8:33:41 pm", -73, -95, 44, WPA2-Enterprise, a/n,[Hidden SSID] ,1C-E6-C7-3E-DB-7D
30,"11/10/2023, 8:33:28 pm", -87, -95, 44, WPA2-Enterprise, a/n,[Hidden SSID] ,1C-E6-C7-3E-DB-7D
31,"11/10/2023, 8:33:16 pm", -87, -95, 44, WPA2-Enterprise, a/n,[Hidden SSID] ,1C-E6-C7-3E-DB-7D
32,"11/10/2023, 8:24:43 pm", -76, -94, 44, WPA2-Enterprise, a/n,[Hidden SSID] ,1C-E6-C7-3E-DB-7D
33,"11/10/2023, 8:24:31 pm", -76, -94, 44, WPA2-Enterprise, a/n,[Hidden SSID] ,1C-E6-C7-3E-DB-7D
34,"11/10/2023, 8:24:18 pm", -76, -94, 44, WPA2-Enterprise, a/n,[Hidden SSID] ,1C-E6-C7-3E-DB-7D
35,"11/10/2023, 8:22:00 pm", -88, -93, 44, WPA2-Enterprise, a/n,[Hidden SSID] ,1C-E6-C7-3E-DB-7D
36,"11/10/2023, 8:21:48 pm", -88, -93, 44, WPA2-Enterprise, a/n,[Hidden SSID] ,1C-E6-C7-3E-DB-7D
37,"11/10/2023, 8:21:36 pm", -88, -93, 44, WPA2-Enterprise, a/n,[Hidden SSID] ,1C-E6-C7-3E-DB-7D
38,"11/10/2023, 8:21:21 pm", -89, -95, 44, WPA2-Enterprise, a/n,[Hidden SSID] ,1C-E6-C7-3E-DB-7D
39,"11/10/2023, 8:21:08 pm", -89, -95, 44, WPA2-Enterprise, a/n,[Hidden SSID] ,1C-E6-C7-3E-DB-7D
40,"11/10/2023, 8:20:55 pm", -88, -95, 44, WPA2-Enterprise, a/n,[Hidden SSID] ,1C-E6-C7-3E-DB-7D
41,"11/10/2023, 8:20:42 pm", -91, -95, 44, WPA2-Enterprise, a/n,[Hidden SSID] ,1C-E6-C7-3E-DB-7D
42,"11/10/2023, 8:20:29 pm", -91, -95, 44, WPA2-Enterprise, a/n,[Hidden SSID] ,1C-E6-C7-3E-DB-7D
43,"11/10/2023, 8:37:27 pm", -74, -86, 11, WPA2-Enterprise, g/n,[Hidden SSID] ,08-CC-68-B4-90-B4
44,"11/10/2023, 8:37:15 pm", -74, -86, 11, WPA2-Enterprise, g/n,[Hidden SSID] ,08-CC-68-B4-90-B4
45,"11/10/2023, 8:01:16 pm", -68, -80, 11, Open, g/n,UNSW Guest ,84-78-AC-98-4D-B3
46,"11/10/2023, 8:18:18 pm", -84, -96, 132, WPA2-Enterprise, a/n,Global_Students ,F0-9E-63-14-94-AC
47,"11/10/2023, 8:18:06 pm", -84, -96, 132, WPA2-Enterprise, a/n,Global_Students ,F0-9E-63-14-94-AC
48,"11/10/2023, 8:17:53 pm", -83, -96, 132, WPA2-Enterprise, a/n,Global_Students ,F0-9E-63-14-94-AC
49,"11/10/2023, 8:17:40 pm", -86, -94, 132, WPA2-Enterprise, a/n,Global_Students ,F0-9E-63-14-94-AC
