,Date,Time,Signal(dBm),Noise(dBm),Channel,Mode,SSID,BSSID,Frequency (GHz)
225,5/10/2023 12:34:53,1696509293,-86,-93,11, b/g/n,ASUS_66U ,A8-5E-45-9A-D9-90,
427,5/10/2023 12:34:53,1696509293,-76,-91,6, g/n,Global_Students ,74-88-BB-2B-01-24,
506,5/10/2023 12:34:53,1696509293,-81,-94,132, ac,uniwide ,B8-11-4B-82-62-AE,
627,5/10/2023 12:34:53,1696509293,-76,-94,6, g/n,eduroam ,74-88-BB-2B-01-20,
1100,5/10/2023 12:34:53,1696509293,-49,-91,11, g/n,[Hidden SSID] ,08-CC-68-B5-9A-44,
1189,5/10/2023 12:34:53,1696509293,-69,-94,6, g/n,[Hidden SSID] ,B8-11-4B-82-62-A2,
1226,5/10/2023 12:34:53,1696509293,-91,-94,112, ac,uniwide ,08-CC-68-B5-88-AA,
1315,5/10/2023 12:34:53,1696509293,-87,-91,6, g/n,eduroam ,4C-E1-76-F3-53-60,
1589,5/10/2023 12:34:53,1696509293,-88,-89,6, g/n,Global_Students ,4C-E1-76-F3-53-64,
1675,5/10/2023 12:34:53,1696509293,-85,-94,6, g/n,[Hidden SSID] ,08-CC-68-B4-7D-60,
2139,5/10/2023 12:34:53,1696509293,-88,-94,1, g/n,[Hidden SSID] ,24-16-9D-23-FD-25,
2279,5/10/2023 12:34:53,1696509293,-86,-95,157, ac,[Hidden SSID] ,08-CC-68-B4-84-1B,
2463,5/10/2023 12:34:53,1696509293,-59,-94,132, ac,[Hidden SSID] ,08-CC-68-B5-9A-4B,
2745,5/10/2023 12:34:53,1696509293,-77,-94,100, ac,eduroam ,08-CC-68-B4-8C-FE,
2984,5/10/2023 12:34:53,1696509293,-81,-94,112, ac,eduroam ,08-CC-68-B4-86-5E,
3302,5/10/2023 12:34:53,1696509293,-84,-93,6, g/n,eduroam ,08-CC-68-B4-7D-61,
3537,5/10/2023 12:34:53,1696509293,-87,-91,6, g/n,uniwide ,4C-E1-76-F3-53-61,
3623,5/10/2023 12:34:53,1696509293,-90,-94,132, ac,uniwide ,08-CC-68-B4-84-9A,
3836,5/10/2023 12:34:53,1696509293,-86,-91,6, ac,gj 的 S23 ,1A-62-02-07-FE-2F,
3882,5/10/2023 12:34:53,1696509293,-66,-91,6, g/n,UNSW Guest ,B8-11-4B-82-62-A3,
